UniqueID,countyFIPS,CountyName,Month_Year,Cases,Month_c,Month,Year,County_FIPS,LaborForce,Employed,Unemployed,UnemploymentRate
Salem County_May,34033,Salem County,20-May,14046,May,5,20,33,29772,25811,3961,13.3
Salem County_Jun,34033,Salem County,20-Jun,21377,Jun,6,20,33,29649,25229,4420,14.9
Salem County_Jul,34033,Salem County,20-Jul,25613,Jul,7,20,33,30020,25910,4110,13.7
Salem County_Aug,34033,Salem County,20-Aug,28710,Aug,8,20,33,29866,26682,3184,10.7
Somerset County_Feb,34035,Somerset County,20-Feb,0,Feb,2,20,35,174401,168315,6086,3.5
Somerset County_Mar,34035,Somerset County,20-Mar,2132,Mar,3,20,35,173473,168167,5306,3.1
Somerset County_Apr,34035,Somerset County,20-Apr,60288,Apr,4,20,35,164019,143699,20320,12.4
Somerset County_May,34035,Somerset County,20-May,129670,May,5,20,35,166895,147232,19663,11.8
Somerset County_Jun,34035,Somerset County,20-Jun,142490,Jun,6,20,35,169215,146841,22374,13.2
Somerset County_Jul,34035,Somerset County,20-Jul,156196,Jul,7,20,35,173137,152982,20155,11.6
Somerset County_Aug,34035,Somerset County,20-Aug,164212,Aug,8,20,35,171123,155869,15254,8.9
Sussex County_Feb,34037,Sussex County,20-Feb,0,Feb,2,20,37,75572,72232,3340,4.4
Sussex County_Mar,34037,Sussex County,20-Mar,600,Mar,3,20,37,75027,72114,2913,3.9
Sussex County_Apr,34037,Sussex County,20-Apr,16770,Apr,4,20,37,74516,61790,12726,17.1
Sussex County_May,34037,Sussex County,20-May,32396,May,5,20,37,74645,63421,11224,15
Sussex County_Jun,34037,Sussex County,20-Jun,34770,Jun,6,20,37,74999,63129,11870,15.8
Sussex County_Jul,34037,Sussex County,20-Jul,38498,Jul,7,20,37,75855,65687,10168,13.4
Sussex County_Aug,34037,Sussex County,20-Aug,41818,Aug,8,20,37,74848,67150,7698,10.3
Union County_Feb,34039,Union County,20-Feb,0,Feb,2,20,39,281827,269659,12168,4.3
Union County_Mar,34039,Union County,20-Mar,6030,Mar,3,20,39,280328,269468,10860,3.9
Union County_Apr,34039,Union County,20-Apr,229648,Apr,4,20,39,271937,230044,41893,15.4
Union County_May,34039,Union County,20-May,450261,May,5,20,39,276606,235570,41036,14.8
Union County_Jun,34039,Union County,20-Jun,486629,Jun,6,20,39,281299,235116,46183,16.4
Union County_Jul,34039,Union County,20-Jul,506050,Jul,7,20,39,286811,245064,41747,14.6
Union County_Aug,34039,Union County,20-Aug,522010,Aug,8,20,39,281642,249419,32223,11.4
Warren County_Feb,34041,Warren County,20-Feb,0,Feb,2,20,41,57182,54793,2389,4.2
Warren County_Mar,34041,Warren County,20-Mar,372,Mar,3,20,41,57388,55337,2051,3.6
Warren County_Apr,34041,Warren County,20-Apr,14754,Apr,4,20,41,56731,48557,8174,14.4
Warren County_May,34041,Warren County,20-May,33143,May,5,20,41,57348,50091,7257,12.7
Warren County_Jun,34041,Warren County,20-Jun,36138,Jun,6,20,41,57987,49969,8018,13.8
Warren County_Jul,34041,Warren County,20-Jul,39642,Jul,7,20,41,58038,51043,6995,12.1
Warren County_Aug,34041,Warren County,20-Aug,42224,Aug,8,20,41,57772,52457,5315,9.2
