id,County_Month,countyFIPS,County,Month_Year,Covid_Cases,year,month,Month_c,StateAbbr,LaborForce,Employed,Unemployed,Unemployment_Rate
213,Salem _Feb,34033,Salem ,20-Feb,0,2020,2,Feb, NJ,29831,28107,1724,5.8
214,Salem _Mar,34033,Salem ,20-Mar,12,2020,3,Mar, NJ,29909,28389,1520,5.1
215,Salem _Apr,34033,Salem ,20-Apr,231,2020,4,Apr, NJ,29409,25170,4239,14.4
216,Salem _May,34033,Salem ,20-May,634,2020,5,May, NJ,29772,25811,3961,13.3
217,Salem _Jun,34033,Salem ,20-Jun,768,2020,6,Jun, NJ,29649,25229,4420,14.9
218,Salem _Jul,34033,Salem ,20-Jul,865,2020,7,Jul, NJ,30020,25910,4110,13.7
219,Salem _Aug,34033,Salem ,20-Aug,980,2020,8,Aug, NJ,29866,26682,3184,10.7
220,Somerset _Feb,34035,Somerset ,20-Feb,0,2020,2,Feb, NJ,174401,168315,6086,3.5
221,Somerset _Mar,34035,Somerset ,20-Mar,413,2020,3,Mar, NJ,173473,168167,5306,3.1
222,Somerset _Apr,34035,Somerset ,20-Apr,3464,2020,4,Apr, NJ,164019,143699,20320,12.4
223,Somerset _May,34035,Somerset ,20-May,4583,2020,5,May, NJ,166895,147232,19663,11.8
224,Somerset _Jun,34035,Somerset ,20-Jun,4869,2020,6,Jun, NJ,169215,146841,22374,13.2
225,Somerset _Jul,34035,Somerset ,20-Jul,5177,2020,7,Jul, NJ,173137,152982,20155,11.6
226,Somerset _Aug,34035,Somerset ,20-Aug,5420,2020,8,Aug, NJ,171123,155869,15254,8.9
227,Sussex _Feb,34037,Sussex ,20-Feb,0,2020,2,Feb, NJ,75572,72232,3340,4.4
228,Sussex _Mar,34037,Sussex ,20-Mar,132,2020,3,Mar, NJ,75027,72114,2913,3.9
229,Sussex _Apr,34037,Sussex ,20-Apr,921,2020,4,Apr, NJ,74516,61790,12726,17.1
230,Sussex _May,34037,Sussex ,20-May,1110,2020,5,May, NJ,74645,63421,11224,15
231,Sussex _Jun,34037,Sussex ,20-Jun,1192,2020,6,Jun, NJ,74999,63129,11870,15.8
232,Sussex _Jul,34037,Sussex ,20-Jul,1295,2020,7,Jul, NJ,75855,65687,10168,13.4
233,Sussex _Aug,34037,Sussex ,20-Aug,1399,2020,8,Aug, NJ,74848,67150,7698,10.3
234,Union _Feb,34039,Union ,20-Feb,0,2020,2,Feb, NJ,281827,269659,12168,4.3
235,Union _Mar,34039,Union ,20-Mar,1418,2020,3,Mar, NJ,280328,269468,10860,3.9
236,Union _Apr,34039,Union ,20-Apr,12578,2020,4,Apr, NJ,271937,230044,41893,15.4
237,Union _May,34039,Union ,20-May,15821,2020,5,May, NJ,276606,235570,41036,14.8
238,Union _Jun,34039,Union ,20-Jun,16297,2020,6,Jun, NJ,281299,235116,46183,16.4
239,Union _Jul,34039,Union ,20-Jul,16523,2020,7,Jul, NJ,286811,245064,41747,14.6
240,Union _Aug,34039,Union ,20-Aug,17103,2020,8,Aug, NJ,281642,249419,32223,11.4
241,Warren _Feb,34041,Warren ,20-Feb,0,2020,2,Feb, NJ,57182,54793,2389,4.2
242,Warren _Mar,34041,Warren ,20-Mar,76,2020,3,Mar, NJ,57388,55337,2051,3.6
243,Warren _Apr,34041,Warren ,20-Apr,903,2020,4,Apr, NJ,56731,48557,8174,14.4
244,Warren _May,34041,Warren ,20-May,1160,2020,5,May, NJ,57348,50091,7257,12.7
245,Warren _Jun,34041,Warren ,20-Jun,1233,2020,6,Jun, NJ,57987,49969,8018,13.8
246,Warren _Jul,34041,Warren ,20-Jul,1329,2020,7,Jul, NJ,58038,51043,6995,12.1
247,Warren _Aug,34041,Warren ,20-Aug,1395,2020,8,Aug, NJ,57772,52457,5315,9.2
