id,County_Month,Month_Year_x,Covid_Cases,year,month,Month_c,Year,County_FIPS,State FIPS Code,County FIPS Code,County Name,State Abbreviation,Month_Year_y,Labor Force,Employed,Unemployed,Unemployment Rate (%)
200,Ocean County_Mar,3/31/2020,1022,2020,3,Mar,20,29,34,29,Ocean County, NJ,Mar,276776,265826,10950,4
201,Ocean County_Apr,4/30/2020,6375,2020,4,Apr,20,29,34,29,Ocean County, NJ,Apr,273188,225983,47205,17.3
202,Ocean County_May,5/31/2020,8748,2020,5,May,20,29,34,29,Ocean County, NJ,May,275790,232692,43098,15.6
203,Ocean County_Jun,6/30/2020,9614,2020,6,Jun,20,29,34,29,Ocean County, NJ,Jun,278682,232361,46321,16.6
204,Ocean County_Jul,7/31/2020,10414,2020,7,Jul,20,29,34,29,Ocean County, NJ,Jul,281878,243810,38068,13.5
205,Ocean County_Aug,8/31/2020,11181,2020,8,Aug,20,29,34,29,Ocean County, NJ,Aug,278844,250059,28785,10.3
206,Passaic County_Feb,2/29/2020,0,2020,2,Feb,20,31,34,31,Passaic County, NJ,Feb,248840,236273,12567,5.1
207,Passaic County_Mar,3/31/2020,1294,2020,3,Mar,20,31,34,31,Passaic County, NJ,Mar,249188,237780,11408,4.6
208,Passaic County_Apr,4/30/2020,12449,2020,4,Apr,20,31,34,31,Passaic County, NJ,Apr,249112,199887,49225,19.8
209,Passaic County_May,5/31/2020,16170,2020,5,May,20,31,34,31,Passaic County, NJ,May,251967,204562,47405,18.8
210,Passaic County_Jun,6/30/2020,16879,2020,6,Jun,20,31,34,31,Passaic County, NJ,Jun,256795,203941,52854,20.6
211,Passaic County_Jul,7/31/2020,17429,2020,7,Jul,20,31,34,31,Passaic County, NJ,Jul,257660,210665,46995,18.2
212,Passaic County_Aug,8/31/2020,18351,2020,8,Aug,20,31,34,31,Passaic County, NJ,Aug,253055,216539,36516,14.4
213,Salem County_Feb,2/29/2020,0,2020,2,Feb,20,33,34,33,Salem County, NJ,Feb,29831,28107,1724,5.8
214,Salem County_Mar,3/31/2020,12,2020,3,Mar,20,33,34,33,Salem County, NJ,Mar,29909,28389,1520,5.1
215,Salem County_Apr,4/30/2020,231,2020,4,Apr,20,33,34,33,Salem County, NJ,Apr,29409,25170,4239,14.4
216,Salem County_May,5/31/2020,634,2020,5,May,20,33,34,33,Salem County, NJ,May,29772,25811,3961,13.3
217,Salem County_Jun,6/30/2020,768,2020,6,Jun,20,33,34,33,Salem County, NJ,Jun,29649,25229,4420,14.9
218,Salem County_Jul,7/31/2020,865,2020,7,Jul,20,33,34,33,Salem County, NJ,Jul,30020,25910,4110,13.7
219,Salem County_Aug,8/31/2020,980,2020,8,Aug,20,33,34,33,Salem County, NJ,Aug,29866,26682,3184,10.7
220,Somerset County_Feb,2/29/2020,0,2020,2,Feb,20,35,34,35,Somerset County, NJ,Feb,174401,168315,6086,3.5
221,Somerset County_Mar,3/31/2020,413,2020,3,Mar,20,35,34,35,Somerset County, NJ,Mar,173473,168167,5306,3.1
222,Somerset County_Apr,4/30/2020,3464,2020,4,Apr,20,35,34,35,Somerset County, NJ,Apr,164019,143699,20320,12.4
223,Somerset County_May,5/31/2020,4583,2020,5,May,20,35,34,35,Somerset County, NJ,May,166895,147232,19663,11.8
224,Somerset County_Jun,6/30/2020,4869,2020,6,Jun,20,35,34,35,Somerset County, NJ,Jun,169215,146841,22374,13.2
225,Somerset County_Jul,7/31/2020,5177,2020,7,Jul,20,35,34,35,Somerset County, NJ,Jul,173137,152982,20155,11.6
226,Somerset County_Aug,8/31/2020,5420,2020,8,Aug,20,35,34,35,Somerset County, NJ,Aug,171123,155869,15254,8.9
227,Sussex County_Feb,2/29/2020,0,2020,2,Feb,20,37,34,37,Sussex County, NJ,Feb,75572,72232,3340,4.4
228,Sussex County_Mar,3/31/2020,132,2020,3,Mar,20,37,34,37,Sussex County, NJ,Mar,75027,72114,2913,3.9
229,Sussex County_Apr,4/30/2020,921,2020,4,Apr,20,37,34,37,Sussex County, NJ,Apr,74516,61790,12726,17.1
230,Sussex County_May,5/31/2020,1110,2020,5,May,20,37,34,37,Sussex County, NJ,May,74645,63421,11224,15
231,Sussex County_Jun,6/30/2020,1192,2020,6,Jun,20,37,34,37,Sussex County, NJ,Jun,74999,63129,11870,15.8
232,Sussex County_Jul,7/31/2020,1295,2020,7,Jul,20,37,34,37,Sussex County, NJ,Jul,75855,65687,10168,13.4
233,Sussex County_Aug,8/31/2020,1399,2020,8,Aug,20,37,34,37,Sussex County, NJ,Aug,74848,67150,7698,10.3
234,Union County_Feb,2/29/2020,0,2020,2,Feb,20,39,34,39,Union County, NJ,Feb,281827,269659,12168,4.3
235,Union County_Mar,3/31/2020,1418,2020,3,Mar,20,39,34,39,Union County, NJ,Mar,280328,269468,10860,3.9
236,Union County_Apr,4/30/2020,12578,2020,4,Apr,20,39,34,39,Union County, NJ,Apr,271937,230044,41893,15.4
237,Union County_May,5/31/2020,15821,2020,5,May,20,39,34,39,Union County, NJ,May,276606,235570,41036,14.8
238,Union County_Jun,6/30/2020,16297,2020,6,Jun,20,39,34,39,Union County, NJ,Jun,281299,235116,46183,16.4
239,Union County_Jul,7/31/2020,16523,2020,7,Jul,20,39,34,39,Union County, NJ,Jul,286811,245064,41747,14.6
240,Union County_Aug,8/31/2020,17103,2020,8,Aug,20,39,34,39,Union County, NJ,Aug,281642,249419,32223,11.4
241,Warren County_Feb,2/29/2020,0,2020,2,Feb,20,41,34,41,Warren County, NJ,Feb,57182,54793,2389,4.2
242,Warren County_Mar,3/31/2020,76,2020,3,Mar,20,41,34,41,Warren County, NJ,Mar,57388,55337,2051,3.6
243,Warren County_Apr,4/30/2020,903,2020,4,Apr,20,41,34,41,Warren County, NJ,Apr,56731,48557,8174,14.4
244,Warren County_May,5/31/2020,1160,2020,5,May,20,41,34,41,Warren County, NJ,May,57348,50091,7257,12.7
245,Warren County_Jun,6/30/2020,1233,2020,6,Jun,20,41,34,41,Warren County, NJ,Jun,57987,49969,8018,13.8
246,Warren County_Jul,7/31/2020,1329,2020,7,Jul,20,41,34,41,Warren County, NJ,Jul,58038,51043,6995,12.1
247,Warren County_Aug,8/31/2020,1395,2020,8,Aug,20,41,34,41,Warren County, NJ,Aug,57772,52457,5315,9.2
